machine_id,machine_id_encoded,timestamp,operating_speed_rpm,load_percentage,temperature_celsius,rms,peak_to_peak,kurtosis,skewness,crest_factor,spectral_centroid,spectral_bandwidth,spectral_rolloff,dominant_frequency,frequency_rms,entropy,impulse_factor,clearance_factor,band_energy_1_5kHz,snr_estimated,fault_class,fault_present
CAT-DZ-001,4,2025-01-01 02:12:00,2178.2,50.0,76.1,0.504666,3.140405,-0.673464,0.067456,3.695239,1561.3835,1597.0909,144.043,36.6211,32.293633,3.712961,4.483246,5.215249,53810.4816,-20.05,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:15:00,2161.4,54.0,72.0,0.8227,4.82501,-0.6062,0.206925,3.378438,1650.194,1612.0122,75.6836,36.6211,52.642692,3.734285,4.147562,4.86158,164374.9358,-20.5712,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:16:00,2177.7,59.9,68.6,0.85247,3.665245,-1.214341,0.019316,2.221954,1638.2183,1627.6518,41.5039,36.6211,54.549181,3.991708,2.535014,2.821799,136019.2049,-19.4923,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:19:00,2158.4,64.3,66.0,0.440872,2.383174,-0.517878,-0.203556,2.748318,1516.5164,1598.3045,180.6641,36.6211,28.211035,3.864059,3.364253,3.924564,45797.2253,-20.5731,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:22:00,2174.9,65.8,63.5,0.683974,3.277165,-0.617322,0.225493,2.674161,1568.0605,1634.3217,122.0703,36.6211,43.763676,3.947631,3.264176,3.812604,101505.8125,-20.1261,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:24:00,2175.9,65.9,60.2,0.930656,4.912008,-0.926419,-0.243254,2.82533,1709.1286,1631.6135,107.4219,36.6211,59.561094,3.756768,3.279177,3.66167,207176.7041,-20.4758,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:25:00,2185.4,63.1,61.4,0.739387,4.233312,-0.761942,0.43494,3.112126,1757.0746,1627.6494,109.8633,73.2422,47.309577,3.723843,3.660107,4.127553,133090.2857,-20.2712,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:29:00,2169.4,64.3,56.0,0.650004,4.934756,0.076293,-0.414218,5.115184,1626.0354,1632.8377,146.4844,36.6211,41.595998,3.460181,6.553118,7.837438,110394.7422,-20.8875,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:30:00,2175.4,66.2,57.4,0.722123,3.78357,-0.12907,-0.34106,2.836975,1550.0452,1614.4762,112.3047,73.2422,46.205008,3.862991,3.63545,4.386528,108682.0326,-19.7423,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:32:00,2184.3,68.7,62.3,0.732446,4.371765,-0.431632,0.304065,3.708359,1819.7433,1620.1138,146.4844,73.2422,46.865573,3.727476,4.652549,5.589264,145404.3805,-20.89,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:34:00,2177.9,69.3,57.0,0.697704,3.220327,-0.851841,0.048384,2.419231,1709.5859,1645.176,109.8633,36.6211,44.645728,3.96945,2.912307,3.380993,137550.9744,-21.2018,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:38:00,2172.7,69.8,58.2,0.719885,5.356544,-0.064703,-0.698452,5.306599,1614.3543,1614.8962,144.043,73.2422,46.062667,3.462282,6.638584,7.837232,165918.8643,-21.9261,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:39:00,2155.7,69.4,56.1,0.921153,3.890805,-0.961525,-0.566112,2.380948,1599.6142,1625.2776,73.2422,36.6211,58.943981,3.907853,2.760789,3.091792,213934.2096,-21.0329,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:42:00,2147.5,73.0,55.7,0.925443,4.306572,-1.3204,-0.199532,2.489432,1792.6031,1647.1334,39.0625,36.6211,59.233297,3.809926,2.800602,3.08837,267729.2076,-21.6933,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:44:00,2157.3,71.2,58.6,1.041831,5.413668,-0.399793,0.601581,3.061852,1589.0914,1633.5042,80.5664,36.6211,66.672556,3.830176,3.725204,4.302451,278470.5732,-20.8351,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:45:00,2169.6,69.7,56.7,0.876513,5.186084,-0.647268,0.54588,3.429633,1650.4363,1632.3888,107.4219,36.6211,56.083898,3.659925,4.138931,4.768774,221186.5955,-21.3686,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:46:00,2183.6,70.5,56.5,0.446483,2.571155,-0.673133,-0.198894,3.023571,1645.2776,1627.7691,183.1055,36.6211,28.568202,3.782545,3.672238,4.279234,53924.0841,-21.1657,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:50:00,2195.9,68.3,55.6,0.793047,4.970389,-1.065559,0.251284,3.196737,1803.184,1632.7552,109.8633,36.6211,50.744063,3.58433,3.632154,3.985567,174402.2263,-21.0372,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:54:00,2199.5,67.5,56.4,0.556514,2.847252,-0.543961,0.232652,2.683542,1719.2714,1623.0012,183.1055,73.2422,35.609914,3.90281,3.294923,3.853696,86264.8653,-21.3001,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:57:00,2161.9,69.9,58.4,1.128867,6.086527,-0.608601,0.595523,3.330471,1692.4767,1632.419,75.6836,36.6211,72.232041,3.71237,4.070325,4.738288,324485.6115,-20.8567,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:58:00,2186.5,70.4,60.7,0.696323,3.406394,-0.725027,0.283292,2.464901,1586.5919,1619.6855,144.043,36.6211,44.554166,3.924623,2.980745,3.457089,99204.4329,-19.9065,misalignment_early,1
CAT-DZ-001,4,2025-01-01 02:59:00,2151.7,71.0,59.4,0.922539,5.752122,-0.812639,0.037046,3.51287,1701.8793,1623.0666,73.2422,36.6211,59.028731,3.627069,4.218438,4.876594,245700.8094,-21.5847,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:00:00,2161.2,71.7,55.0,0.784305,7.461797,-0.299801,-0.304113,6.761519,1722.1633,1637.7744,78.125,36.6211,50.184032,3.254879,8.127846,9.338049,199400.0069,-21.5614,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:01:00,2144.2,71.9,55.3,0.880982,3.80718,-1.039033,0.497547,2.272971,1760.8611,1646.4816,70.8008,36.6211,56.386178,3.855936,2.602779,2.874007,229803.0426,-21.4146,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:03:00,2135.1,75.9,57.2,0.960661,4.709909,-0.869834,0.417106,2.795066,1769.8342,1637.2188,70.8008,36.6211,61.483892,3.868981,3.293516,3.739352,346433.2475,-22.3419,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:07:00,2154.4,76.8,57.3,0.583694,3.874635,-0.235564,-0.225047,3.895597,1698.5594,1636.3134,144.043,36.6211,37.35546,3.643497,4.88168,5.763232,114490.0178,-21.6922,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:09:00,2141.7,78.9,56.8,0.832103,6.746042,-0.749882,0.26522,5.566038,1776.4473,1631.542,70.8008,36.6211,53.246881,3.380893,6.56685,7.481386,281606.0176,-22.6674,misalignment_early,1
CAT-DZ-001,4,2025-01-01 03:10:00,2008.6,71.3,55.3,0.76911,3.653484,-0.68567,0.440326,2.577292,1516.4299,1623.7758,100.0977,34.1797,49.214435,3.926978,3.064964,3.481012,107416.4656,-19.1504,normal,0
CAT-DZ-001,4,2025-01-01 03:11:00,1925.6,65.4,59.0,0.830713,4.10424,-1.22401,-0.295727,2.890387,1543.922,1623.1402,92.7734,31.7383,53.162199,3.691734,3.251358,3.526246,106600.313,-18.822,normal,0
CAT-DZ-001,4,2025-01-01 03:13:00,1847.6,61.5,58.0,0.882738,4.803397,-1.104711,-0.013827,3.093439,1581.1572,1640.417,61.0352,31.7383,56.487919,3.699615,3.627179,4.145754,127653.8081,-18.7319,normal,0
CAT-DZ-001,4,2025-01-01 03:14:00,1791.3,62.4,57.7,0.728678,6.943028,-0.780592,-0.017812,4.985015,1658.4737,1631.7572,90.332,29.2969,46.629497,3.239565,5.887734,6.70623,112271.5176,-20.0549,normal,0
CAT-DZ-001,4,2025-01-01 03:17:00,1721.5,61.9,56.4,0.836712,6.334661,-0.644517,0.55872,4.269447,1380.2751,1608.0304,80.5664,29.2969,53.536556,3.377834,5.005063,5.596807,75900.5362,-17.4725,normal,0
CAT-DZ-001,4,2025-01-01 03:21:00,1682.5,59.7,56.7,0.322457,1.657579,-0.613712,0.190485,2.804412,1377.7312,1586.2057,168.457,26.8555,20.636781,3.902339,3.384328,3.908396,14766.8209,-18.324,normal,0
CAT-DZ-001,4,2025-01-01 03:25:00,1644.5,56.0,57.7,0.748996,3.522002,-0.504935,0.079588,2.4474,1292.5289,1580.8127,83.0078,26.8555,47.924774,3.873844,3.050376,3.649719,45177.0682,-15.676,normal,0
CAT-DZ-001,4,2025-01-01 03:27:00,1640.3,53.6,55.8,0.622359,5.848481,0.015044,0.0356,6.427061,1487.8232,1618.9692,65.918,26.8555,39.821528,3.270313,8.085833,9.581196,52249.7855,-18.1398,normal,0
CAT-DZ-001,4,2025-01-01 03:29:00,1631.5,47.1,54.5,0.641526,2.860268,-1.165621,0.149444,2.556448,1480.2035,1610.6503,53.7109,26.8555,41.050023,3.93963,2.953885,3.336046,33080.5604,-15.8185,normal,0
CAT-DZ-001,4,2025-01-01 03:32:00,1611.6,44.4,56.2,0.585821,2.544015,-0.90305,-0.334541,2.238869,1474.5756,1597.8839,80.5664,26.8555,37.483397,3.946885,2.655613,3.019163,24971.6671,-15.3817,normal,0
CAT-DZ-001,4,2025-01-01 03:34:00,1586.7,41.2,56.8,0.525399,2.609758,-1.028733,-0.123232,2.719966,1361.3005,1586.8963,78.125,26.8555,33.617497,3.845905,3.145905,3.527162,23982.6743,-16.2145,normal,0
CAT-DZ-001,4,2025-01-01 03:37:00,1588.9,45.1,58.1,0.431416,3.026871,0.530716,-0.865695,4.623955,1296.7712,1568.1284,104.9805,26.8555,27.604038,3.455897,6.124148,7.485381,15283.0837,-15.9604,normal,0
CAT-DZ-001,4,2025-01-01 03:40:00,1570.3,42.3,59.3,0.401813,3.08944,-1.011722,0.307206,4.140061,1417.9947,1606.4634,78.125,26.8555,25.710706,3.385965,4.734113,5.244903,17156.9037,-17.035,normal,0
CAT-DZ-001,4,2025-01-01 03:44:00,1529.0,40.6,57.8,0.774563,3.670429,-0.362783,-0.79541,2.762216,1121.8494,1523.3561,51.2695,24.4141,49.58472,3.783087,3.418152,4.061475,27356.0741,-13.1151,normal,0
CAT-DZ-001,4,2025-01-01 03:46:00,1517.2,40.1,57.8,0.52294,2.50437,-0.875069,0.005571,2.551455,1159.2355,1537.407,75.6836,24.4141,33.460111,3.940522,2.975663,3.330592,16776.5939,-14.7779,normal,0
CAT-DZ-001,4,2025-01-01 03:48:00,1502.8,44.9,58.6,0.408888,2.119299,0.191453,-0.495101,2.809023,1216.3879,1545.0335,100.0977,24.4141,26.162737,3.848422,3.641443,4.385717,12577.794,-15.6631,normal,0
CAT-DZ-001,4,2025-01-01 03:50:00,1502.6,43.9,60.3,0.535894,2.60973,-0.520154,-0.64069,2.610334,1149.1252,1529.8863,100.0977,24.4141,34.296114,3.842218,3.089377,3.480814,19408.5203,-14.8334,normal,0
CAT-DZ-001,4,2025-01-01 03:53:00,1506.1,42.7,63.6,0.796489,5.60444,-1.141733,0.170857,5.048359,1507.2159,1626.42,51.2695,24.4141,50.984457,3.406466,5.680748,6.214779,79907.6872,-17.7138,normal,0
CAT-DZ-001,4,2025-01-01 03:55:00,1491.2,43.0,63.7,0.409272,3.499765,0.076909,0.495798,6.581986,1365.6862,1589.7878,100.0977,24.4141,26.189189,3.348648,8.336754,9.970435,19262.3881,-17.7049,normal,0
CAT-DZ-001,4,2025-01-01 03:56:00,1468.8,44.0,61.8,0.711485,2.861935,-0.844012,-0.621729,2.385474,1461.6381,1602.9751,48.8281,24.4141,45.523972,3.930917,2.812404,3.184806,22333.373,-13.087,normal,0
CAT-DZ-001,4,2025-01-01 04:00:00,1497.0,42.9,61.8,0.485486,2.161016,0.404296,1.134027,2.927951,1111.9177,1527.574,100.0977,24.4141,31.064391,3.727352,3.738679,4.428618,12002.0402,-13.5748,normal,0
CAT-DZ-001,4,2025-01-01 04:04:00,1496.0,43.1,61.8,0.455689,2.144753,0.082194,1.020979,2.713006,1248.4069,1571.8922,75.6836,24.4141,29.158628,3.767094,3.430525,4.049332,16712.2554,-15.6846,normal,0
CAT-DZ-001,4,2025-01-01 04:06:00,1475.3,42.9,61.4,0.458052,2.364053,-0.564202,0.429648,2.606124,1333.0505,1580.4432,97.6562,24.4141,29.308293,3.800082,3.179519,3.679425,12749.1164,-14.5931,normal,0
CAT-DZ-001,4,2025-01-01 04:10:00,1468.4,40.6,61.4,0.616386,4.448686,-0.42459,-0.118124,5.185477,1535.0294,1627.0488,48.8281,24.4141,39.439691,3.47841,6.528158,7.868043,32814.7116,-16.2761,normal,0
CAT-DZ-001,4,2025-01-01 04:12:00,1479.1,44.2,59.7,0.770909,6.109534,-0.358059,0.47134,6.113531,1709.8349,1635.3995,26.8555,24.4141,49.326895,3.385888,7.444532,8.658347,90638.6061,-18.9145,normal,0
CAT-DZ-001,4,2025-01-01 04:15:00,1460.3,42.8,62.3,0.394624,1.882759,-0.343612,0.45231,2.591555,1419.275,1599.3896,97.6562,48.8281,25.250219,3.930366,3.285194,3.967958,12134.7711,-15.6677,normal,0
CAT-DZ-001,4,2025-01-01 04:16:00,1478.3,43.2,61.0,0.547639,2.527438,-0.735387,0.210594,2.337991,1384.3427,1603.3768,73.2422,48.8281,35.040374,3.967783,2.856844,3.360426,27296.6468,-16.4032,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:17:00,1508.6,46.1,61.2,0.708491,2.858704,-1.331082,-0.291887,2.146258,1255.1571,1567.4211,51.2695,24.4141,45.335085,3.913558,2.4021,2.61827,32617.2138,-14.9876,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:18:00,1537.2,48.0,59.2,0.51932,3.699714,-0.340638,0.323306,4.081052,1309.9114,1586.8219,102.5391,24.4141,33.246396,3.550527,5.1275,6.127982,29628.0321,-17.021,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:20:00,1514.2,48.4,61.0,0.494471,2.325443,-0.725548,-0.646213,2.86011,1391.0941,1609.1542,100.0977,24.4141,31.64428,3.820176,3.314932,3.671118,27433.4702,-17.1053,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:24:00,1528.3,50.4,65.0,0.579642,2.838278,-0.671717,-0.28906,2.456173,1358.9993,1595.4199,102.5391,51.2695,37.104755,3.92305,2.948661,3.383356,39575.3268,-17.5055,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:25:00,1529.3,53.4,65.2,0.703399,5.149657,-0.418431,0.482401,4.812828,1530.0122,1627.0284,75.6836,24.4141,45.017864,3.428039,6.043974,7.240987,85866.1598,-19.0932,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:27:00,1521.4,54.3,64.4,0.846479,3.648462,-0.426271,-0.72825,2.642507,1397.8345,1624.9291,75.6836,24.4141,54.184251,3.889505,3.297675,3.955755,79141.6646,-16.9927,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:31:00,1519.8,56.8,62.7,0.754845,7.438138,-0.7912,-0.131051,5.759499,1384.3244,1602.7817,75.6836,24.4141,48.320806,3.124722,6.645165,7.412617,83226.7596,-18.5319,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:35:00,1520.4,59.1,59.9,0.893927,6.568302,-0.762288,-0.588246,5.10481,1430.0779,1614.943,51.2695,24.4141,57.234307,3.277126,6.110085,7.019584,100136.3025,-17.629,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:37:00,1536.5,63.7,63.3,0.721025,4.017191,-0.901461,-0.461269,3.039354,1365.3906,1620.0367,51.2695,24.4141,46.164405,3.692559,3.547258,3.984355,42413.5742,-15.5961,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:40:00,1558.9,65.2,65.9,0.617989,2.713593,-0.548316,0.748096,2.443295,1223.0165,1566.589,78.125,51.2695,39.543775,3.856317,2.965532,3.400396,26385.4186,-15.1618,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:43:00,1554.6,64.0,65.1,0.516289,2.846827,-0.842601,-0.459685,3.607393,1253.1244,1560.1284,104.9805,26.8555,33.042046,3.733752,4.272973,4.87969,23423.1557,-16.4368,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:47:00,1567.2,63.1,67.2,0.680096,4.576115,0.274312,-0.907078,4.869887,1302.7589,1577.8461,78.125,51.2695,43.530891,3.490112,6.284903,7.606916,44257.3203,-16.7923,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:48:00,1566.3,66.4,68.7,0.911145,4.287328,-0.536371,-0.231535,2.423893,1388.4138,1627.9021,53.7109,26.8555,58.301422,3.924386,3.080827,3.764335,75192.3158,-15.9675,misalignment_early,1
CAT-DZ-001,4,2025-01-01 04:51:00,1576.6,58.6,68.1,0.685867,3.029025,-0.886364,0.071828,2.330721,1380.1771,1594.7241,53.7109,26.8555,43.886043,4.01451,2.797083,3.250739,39856.0861,-16.2625,normal,0
CAT-DZ-001,4,2025-01-01 04:55:00,1587.1,54.3,68.3,0.65881,4.092514,-1.069148,-0.098313,4.134748,1427.5964,1614.9952,78.125,26.8555,42.153718,3.633704,4.773195,5.331698,43628.9049,-16.61,normal,0
CAT-DZ-001,4,2025-01-01 04:59:00,1618.0,55.6,66.1,0.89477,3.39374,-1.17413,0.386402,2.172183,1578.4343,1641.5373,29.2969,26.8555,57.253637,3.964488,2.422556,2.614989,59465.3756,-15.3865,normal,0
CAT-DZ-001,4,2025-01-01 05:03:00,1628.3,54.7,63.5,0.830127,4.101793,-0.780116,-0.220061,2.678723,1502.8989,1626.8229,53.7109,26.8555,53.116964,3.859182,3.261542,3.83339,58934.8505,-16.0364,normal,0
CAT-DZ-001,4,2025-01-01 05:04:00,1642.3,55.2,58.4,0.824412,7.84969,-0.294315,0.305402,6.903807,1667.6161,1632.2933,31.7383,26.8555,52.754048,3.212938,8.135348,9.104533,117868.0727,-19.4884,normal,0
CAT-DZ-001,4,2025-01-01 05:07:00,1632.6,54.3,59.0,0.593282,2.687813,-0.964499,-0.35134,2.465765,1459.2857,1623.3364,80.5664,26.8555,37.964604,3.909675,2.850893,3.184419,30276.0701,-16.0101,normal,0
CAT-DZ-001,4,2025-01-01 05:10:00,1626.4,53.5,58.6,0.672427,2.963354,-0.860904,-0.406949,2.430746,1222.9106,1561.1853,80.5664,26.8555,43.035926,3.968401,2.895162,3.310898,26059.148,-14.4021,normal,0
CAT-DZ-001,4,2025-01-01 05:12:00,1640.9,53.4,59.1,0.599992,4.070291,-0.924649,-0.068196,4.653956,1252.0793,1568.263,83.0078,26.8555,38.39961,3.585167,5.467875,6.223894,26831.6436,-15.3298,normal,0
CAT-DZ-001,4,2025-01-01 05:15:00,1643.0,52.8,62.8,0.831423,3.739789,-0.938197,-0.48009,2.354689,1220.7076,1550.0507,53.7109,26.8555,53.204842,3.888064,2.747751,3.086254,41258.2922,-14.6859,normal,0
CAT-DZ-001,4,2025-01-01 05:19:00,1650.8,53.3,60.7,0.691942,3.603237,-1.011373,-0.21467,3.304451,1177.3925,1521.0102,63.4766,26.8555,44.27819,3.805191,3.912786,4.495496,30752.0425,-15.0576,normal,0
CAT-DZ-001,4,2025-01-01 05:23:00,1653.4,54.9,62.9,0.562435,5.834893,-0.47043,0.297702,5.757801,1466.3216,1597.7794,109.8633,26.8555,35.987222,3.16012,6.935948,8.014426,50426.9025,-18.9131,normal,0
CAT-DZ-001,4,2025-01-01 05:25:00,1666.3,50.8,60.8,0.745927,4.872919,-1.014383,0.344398,3.38867,1304.689,1573.5065,56.1523,26.8555,47.737584,3.526275,3.870442,4.250722,56481.8012,-17.1397,normal,0
CAT-DZ-001,4,2025-01-01 05:26:00,1668.4,48.9,60.8,0.748502,3.047222,-1.060953,-0.318343,2.123162,1133.9152,1498.8897,56.1523,26.8555,47.89403,3.983286,2.502046,2.871456,31716.0789,-14.7007,normal,0
