machine_id,machine_id_encoded,timestamp,operating_speed_rpm,load_percentage,temperature_celsius,rms,peak_to_peak,kurtosis,skewness,crest_factor,spectral_centroid,spectral_bandwidth,spectral_rolloff,dominant_frequency,frequency_rms,entropy,impulse_factor,clearance_factor,band_energy_1_5kHz,snr_estimated,fault_class,is_early_fault,fault_severity
CAT-DZ-001,4,2025-01-01 10:25:00,1474.2,88.4,47.0,0.926768,14.353727,1.058534,0.231565,7.763096,2077.0826,1619.0598,97.6562,24.4141,59.299791,2.669713,9.1065,10.179501,573024.0126,-23.9509,bearing_wear_early,1,0.2348
CAT-EX-001,0,2025-01-01 03:55:00,893.0,97.3,40.7,0.826705,9.476207,-0.427146,0.276193,6.081638,2151.173,1584.044,46.3867,14.6484,52.900691,3.052998,7.178165,8.121514,540730.3894,-25.4082,imbalance_early,1,0.3304
CAT-TB-001,2,2025-01-01 02:00:00,1192.8,67.9,91.1,0.568499,3.2425,-0.277674,-0.233221,3.206686,1933.7035,1484.0194,2326.6602,19.5312,36.376188,3.813444,3.947166,4.600816,1214728.4868,-20.1368,bearing_wear_severe,0,0.613
CAT-DZ-001,4,2025-01-01 04:22:00,2454.3,77.7,72.1,1.104732,12.763951,0.495269,0.0573,6.259395,2420.9545,1632.0324,4125.9766,4123.5352,70.685885,3.117766,7.8876,9.336592,6850946.8252,-25.0341,bearing_wear_severe,0,0.8943
CAT-TB-002,3,2025-01-01 03:12:00,2392.6,43.9,53.7,0.533461,5.137682,-0.872166,-0.071837,5.738064,1545.4525,1622.1176,119.6289,39.0625,34.135911,3.052454,6.553979,7.289812,54856.4948,-19.6034,imbalance_early,1,0.0895
CAT-TB-002,3,2025-01-01 03:20:00,1652.6,90.0,58.2,0.505769,4.087477,-0.660691,-0.061408,4.948032,2144.6031,1582.1775,1276.8555,26.8555,32.366206,3.447751,5.874386,6.705816,347259.0698,-28.0473,normal,0,0.0
CAT-TB-001,2,2025-01-01 05:57:00,1636.5,68.5,106.8,0.974676,8.39989,-0.279581,0.366296,4.447375,1601.3469,1649.3467,83.0078,53.7109,62.375108,3.277825,5.580143,6.711657,199313.9309,-19.6181,misalignment_severe,0,0.7392
CAT-EX-002,1,2025-01-01 01:49:00,779.6,44.3,96.8,0.670497,6.799641,0.254062,0.796698,5.933786,1913.4109,1655.192,29.2969,12.207,42.974479,3.09235,7.335533,8.618185,169424.8337,-22.1886,normal,0,0.0
CAT-EX-002,1,2025-01-01 06:46:00,2056.0,37.0,79.3,0.487645,5.468309,0.038209,0.786686,6.604478,1837.2073,1618.4608,102.5391,34.1797,31.202767,2.933807,8.148055,9.500673,57041.9258,-20.4498,normal,0,0.0
CAT-TB-001,2,2025-01-01 01:01:00,2690.7,53.6,41.0,0.460147,4.37645,-0.606524,0.050853,6.183568,1975.2803,1613.4635,268.5547,43.9453,29.448468,3.187681,7.048715,7.757104,175714.3636,-25.7451,normal,0,0.0
CAT-TB-002,3,2025-01-01 08:45:00,2609.6,41.2,47.0,0.607474,4.397423,-0.141566,-0.161269,4.072945,2301.7384,1656.5501,4741.2109,43.9453,38.872066,3.586553,5.067925,5.955414,979847.7899,-26.4749,bearing_wear_early,1,0.2942
CAT-TB-001,2,2025-01-01 08:04:00,608.5,92.0,96.0,0.807377,10.220954,1.294579,-0.56637,6.937369,1729.4539,1653.7894,31.7383,19.5312,51.665476,2.676827,9.879055,13.058626,146806.5344,-20.2389,misalignment_severe,0,0.7998
CAT-TB-002,3,2025-01-01 09:52:00,2614.7,33.1,50.3,0.644722,3.590885,-0.923645,0.234761,2.822692,2242.8324,1615.9868,2033.6914,43.9453,41.254474,3.780311,3.287312,3.68607,651466.5326,-27.5074,bearing_wear_early,1,0.1786
CAT-DZ-001,4,2025-01-01 02:57:00,1345.7,45.7,45.5,0.597824,7.455099,0.027761,0.346561,6.64881,1828.5129,1745.4856,134.2773,43.9453,38.253939,2.964015,7.858772,8.816971,274197.0149,-20.4499,bearing_wear_early,1,0.2172
CAT-EX-001,0,2025-01-01 04:42:00,525.1,81.2,73.4,1.379955,18.400445,0.843019,0.11352,9.406193,1819.9396,1653.3163,14.6484,9.7656,88.704369,2.659997,10.718527,11.806571,547685.1998,-21.8011,imbalance_severe,0,0.7649
CAT-EX-001,0,2025-01-01 10:47:00,606.0,25.9,53.1,0.795956,6.489591,-0.25465,0.07248,5.779784,1828.0719,1662.0927,29.2969,9.7656,51.010354,3.378205,7.132484,8.386163,179931.8786,-20.9092,misalignment_early,1,0.2575
CAT-EX-001,0,2025-01-01 09:31:00,2583.7,44.0,70.8,0.336244,2.72342,-0.184559,-0.527602,4.119553,1948.0057,1611.2592,251.4648,43.9453,21.514997,3.412358,5.013943,5.749314,90826.5227,-25.7308,normal,0,0.0
CAT-EX-002,1,2025-01-01 09:22:00,2919.4,40.3,73.5,0.922078,7.751219,-0.755869,0.327283,4.614337,2243.4193,1552.2691,1350.0977,48.8281,59.001528,3.348487,5.421498,6.111585,1175730.58,-27.8171,normal,0,0.0
CAT-EX-002,1,2025-01-01 05:07:00,1572.7,89.4,110.7,0.664377,6.77201,0.148326,-0.235596,6.783633,1637.8961,1648.4946,104.9805,104.9805,42.510955,3.140192,8.743211,10.694114,89867.9269,-19.7224,misalignment_severe,0,0.6498
CAT-EX-001,0,2025-01-01 10:03:00,708.8,27.7,52.8,1.849704,21.818284,-0.461789,-0.010174,6.949847,2016.8164,1625.6761,12.207,12.207,118.408698,2.747133,7.705609,8.325823,1059404.633,-21.5822,imbalance_severe,0,0.5793
CAT-TB-002,3,2025-01-01 04:28:00,1413.1,98.0,118.6,0.454582,3.705317,-0.49001,-0.646645,6.273934,1452.1821,1614.8973,92.7734,46.3867,29.099509,3.235515,7.462045,8.439261,28539.6943,-18.4344,misalignment_early,1,0.3307
CAT-TB-002,3,2025-01-01 12:33:00,2359.6,25.8,113.7,0.437868,2.948749,0.565145,0.979718,3.467017,1721.211,1586.4227,2653.8086,39.0625,28.019319,3.516699,4.52676,5.450171,305436.3323,-19.1918,bearing_wear_early,1,0.1971
CAT-DZ-001,4,2025-01-01 07:07:00,1845.1,64.5,82.6,1.32202,9.329611,-0.600569,0.050399,3.780588,2186.4595,1576.2147,2465.8203,61.0352,84.600319,3.596445,4.519888,5.1638,3478718.7058,-29.5327,misalignment_severe,0,0.9987
CAT-EX-001,0,2025-01-01 05:45:00,1538.9,33.6,66.7,0.550668,5.515,2.148661,-1.576333,6.32595,1710.5504,1655.9257,78.125,51.2695,35.245395,2.87997,8.832438,11.097429,86303.077,-21.1877,misalignment_early,1,0.151
CAT-TB-002,3,2025-01-01 08:06:00,564.1,62.7,92.3,0.330955,2.411221,-0.15584,-0.143944,4.727008,1865.3797,1648.3789,46.3867,9.7656,21.214343,3.518828,5.981037,7.123808,60733.2605,-23.8944,misalignment_early,1,0.2769
CAT-EX-001,0,2025-01-01 11:22:00,2545.2,59.4,115.2,0.50675,2.99047,-0.189552,-0.678521,3.655023,2050.6734,1590.6901,827.6367,41.5039,32.4253,3.707175,4.523715,5.295631,310354.4497,-27.4665,imbalance_early,1,0.1651
CAT-EX-002,1,2025-01-01 16:18:00,1344.3,27.7,69.9,0.650212,3.361074,-0.840611,-0.461282,2.955094,1474.5255,1638.9194,24.4141,21.9727,41.619609,3.73157,3.557442,4.135321,31311.6789,-15.2479,normal,0,0.0
CAT-EX-001,0,2025-01-01 16:32:00,1947.8,50.9,47.6,1.059463,10.324214,-0.815542,0.149318,5.720313,1724.1798,1661.5962,36.6211,31.7383,67.817671,2.995695,6.504889,7.280638,249671.4809,-20.4817,imbalance_severe,0,0.7226
CAT-DZ-001,4,2025-01-01 09:51:00,1635.8,27.5,77.7,0.618651,8.612007,0.456241,-0.406033,7.460244,1734.5538,1650.1302,104.9805,26.8555,39.584659,2.748606,9.473532,11.589233,104047.1543,-21.0519,normal,0,0.0
CAT-EX-001,0,2025-01-01 05:47:00,899.2,84.3,86.7,1.315543,13.631689,-0.587312,-0.148631,6.895028,2020.9131,1615.0791,17.0898,14.6484,84.182655,3.082693,8.01349,9.052859,712775.313,-22.5827,imbalance_severe,0,0.9329
CAT-EX-001,0,2025-01-01 07:15:00,1817.7,55.8,63.4,0.850691,5.991536,-0.112758,0.080888,4.104298,1902.8551,1506.2711,1992.1875,1992.1875,54.442282,3.615093,5.136794,6.067676,3710009.4713,-21.2132,bearing_wear_severe,0,0.9241
CAT-EX-001,0,2025-01-01 15:24:00,1309.4,54.1,105.8,0.615878,4.401552,-0.333411,-0.192357,3.91991,2172.3313,1582.4771,1159.668,21.9727,39.408676,3.577439,4.91607,5.847376,496313.1081,-27.7962,normal,0,0.0
CAT-EX-002,1,2025-01-01 07:21:00,1688.0,41.4,62.1,0.528924,4.197984,0.570091,0.724369,5.192124,1553.0352,1634.3125,112.3047,29.2969,33.850118,3.307961,6.845794,8.300803,49794.32,-19.0805,normal,0,0.0
CAT-TB-002,3,2025-01-01 14:45:00,1354.1,73.3,43.1,0.619041,5.449884,-1.088641,0.432683,4.580837,1291.8401,1579.9897,68.3594,21.9727,39.626198,3.016797,5.15092,5.606404,33808.2188,-16.6212,normal,0,0.0
CAT-DZ-001,4,2025-01-01 05:43:00,2959.5,42.0,56.1,0.551254,5.872854,-0.605239,0.041319,6.619891,1588.1145,1605.2652,202.6367,97.6562,35.271938,3.03037,7.645662,8.65072,72500.5464,-20.8392,normal,0,0.0
CAT-TB-002,3,2025-01-01 15:18:00,569.0,27.8,111.0,0.541325,3.203618,-0.996529,-0.182098,3.628043,1874.1489,1638.7208,34.1797,9.7656,34.640246,3.682901,4.294867,4.928293,103247.9829,-21.8039,misalignment_severe,0,0.5699
CAT-DZ-001,4,2025-01-01 10:27:00,1144.4,93.7,63.5,0.460578,3.482345,0.247642,-0.4665,4.262737,2123.1901,1587.3501,1540.5273,19.5312,29.471182,3.511078,5.478528,6.571571,311279.6117,-27.9177,misalignment_early,1,0.1343
CAT-EX-002,1,2025-01-01 09:24:00,1812.0,70.1,99.0,0.576779,3.158405,-0.507267,-0.459475,2.947171,1626.6786,1599.8273,302.7344,61.0352,36.910423,3.80499,3.584043,4.144872,409425.5952,-17.4589,bearing_wear_early,1,0.2764
CAT-TB-001,2,2025-01-01 03:25:00,2337.7,94.5,65.1,1.201244,13.042367,-0.384876,-0.574781,6.14568,1956.4381,1622.5278,117.1875,78.125,76.861483,2.963504,7.067708,7.777217,476825.4529,-21.7205,misalignment_severe,0,0.9724
CAT-EX-002,1,2025-01-01 13:21:00,2674.1,46.9,80.8,0.851499,8.921878,0.070237,-0.544289,7.132612,1628.6829,1629.0058,90.332,43.9453,54.484791,3.000804,8.425496,9.387328,161169.6238,-20.2926,imbalance_severe,0,0.5951
CAT-EX-002,1,2025-01-01 18:55:00,833.2,56.9,43.0,0.838364,8.410828,-0.03028,-0.025425,5.690308,2074.147,1597.3744,3120.1172,14.6484,53.672878,3.254303,6.994756,8.17259,1954368.0186,-23.6551,bearing_wear_severe,0,0.674
CAT-EX-002,1,2025-01-01 01:44:00,2093.4,61.9,64.2,0.521935,4.044471,-0.176876,0.573998,4.630336,1996.081,1628.8613,209.9609,34.1797,33.40209,3.445286,5.711357,6.65044,221534.7236,-25.4848,normal,0,0.0
CAT-EX-002,1,2025-01-01 13:51:00,994.8,52.8,57.7,0.792159,8.003572,-0.002043,-0.006171,7.476184,2064.6546,1621.1213,65.918,17.0898,50.694258,3.203307,8.989771,10.30579,422946.4343,-24.9463,normal,0,0.0
CAT-TB-001,2,2025-01-01 06:24:00,2360.6,90.1,104.7,0.55344,4.375269,-0.256648,0.028896,5.594534,2005.6913,1605.4287,156.25,39.0625,35.41198,3.429938,6.724082,7.713515,204216.2766,-24.8157,normal,0,0.0
CAT-TB-001,2,2025-01-01 04:47:00,477.9,87.8,81.9,0.478982,6.178079,0.955195,-0.565644,6.750241,1873.4427,1646.1566,39.0625,7.3242,30.654667,2.863101,8.21916,9.405178,202344.5263,-21.7713,bearing_wear_early,1,0.2176
CAT-EX-002,1,2025-01-01 09:33:00,1603.9,35.5,49.9,0.673599,7.313628,-0.083453,-0.035729,7.0366,1825.8068,1642.4572,56.1523,26.8555,43.100807,3.106219,8.593141,10.067762,94108.4808,-19.7737,imbalance_severe,0,0.6522
CAT-TB-002,3,2025-01-01 10:58:00,1701.1,46.6,42.1,0.310088,1.418289,-0.903552,-0.25282,2.305366,1395.9286,1606.9656,114.7461,85.4492,19.846628,3.948751,2.694092,3.023352,12478.1637,-18.059,normal,0,0.0
CAT-DZ-001,4,2025-01-01 06:38:00,2398.9,86.6,62.9,0.643837,7.364098,1.380814,0.908844,8.063935,1865.7771,1624.0962,161.1328,39.0625,41.202079,2.991694,10.705321,13.238216,260787.7127,-24.4292,misalignment_early,1,0.2212
CAT-TB-001,2,2025-01-01 15:48:00,1980.6,96.0,41.1,0.520968,2.536812,-1.064611,0.219565,2.865799,1332.0496,1608.7991,48.8281,34.1797,33.348706,3.772781,3.327151,3.705624,22664.1124,-16.0296,normal,0,0.0
CAT-DZ-001,4,2025-01-01 20:22:00,1403.4,24.1,74.2,0.810768,10.181221,0.541175,0.374339,8.755333,1662.2586,1638.9871,92.7734,24.4141,51.878135,2.808541,10.439309,11.978335,197025.6326,-21.8918,misalignment_severe,0,0.9531
CAT-EX-002,1,2025-01-01 19:01:00,886.6,60.6,45.3,1.756024,9.218345,-1.330304,-0.076269,3.449171,1761.2631,1663.4649,14.6484,14.6484,112.366156,3.621435,3.869908,4.249011,217171.988,-15.0947,imbalance_severe,0,0.7984
CAT-DZ-001,4,2025-01-01 08:29:00,1813.0,26.9,58.9,1.07414,12.365212,0.566961,-0.307229,8.303112,1715.0214,1645.5281,58.5938,29.2969,68.75522,2.866915,9.685374,10.735982,291048.9379,-20.8436,imbalance_early,1,0.0851
CAT-EX-001,0,2025-01-01 07:11:00,2093.4,64.2,62.0,0.575004,4.029766,-1.012203,-0.065298,3.726608,1628.6029,1642.6324,104.9805,34.1797,36.794664,3.477559,4.422873,5.110902,76014.697,-20.1397,imbalance_early,1,0.3265
CAT-TB-002,3,2025-01-01 17:28:00,1655.8,26.8,45.6,0.941477,9.729034,-0.546653,-0.104935,5.308246,1670.9114,1631.5299,109.8633,83.0078,60.239929,3.155421,6.278307,7.110663,172198.262,-19.7758,misalignment_severe,0,0.9893
CAT-EX-001,0,2025-01-01 21:06:00,1096.0,68.0,78.1,0.7403,4.27349,-0.746242,0.134564,2.993005,2156.6104,1597.4666,1640.625,17.0898,47.411957,3.771726,3.554523,4.049507,809633.3838,-28.1494,imbalance_early,1,0.1612
CAT-TB-001,2,2025-01-01 21:49:00,1054.2,30.4,50.4,0.395865,2.586365,-0.086671,-0.707552,3.41384,1905.2559,1648.97,87.8906,17.0898,25.33512,3.584609,4.142534,4.718226,86983.6663,-23.8986,normal,0,0.0
CAT-TB-001,2,2025-01-01 09:47:00,1260.1,31.0,118.8,0.411826,2.505336,-1.441401,0.33305,3.440625,1602.0228,1638.8431,63.4766,21.9727,26.366343,3.295342,3.72278,3.922695,36147.594,-20.1324,normal,0,0.0
CAT-TB-001,2,2025-01-01 21:44:00,1261.3,51.0,113.0,1.179885,11.369202,-0.06182,-0.303762,6.942157,2057.2599,1585.0901,2045.8984,21.9727,75.497394,3.220346,8.068396,9.011775,2076807.0095,-25.9302,combined_fault,0,0.7384
CAT-TB-002,3,2025-01-01 11:36:00,2717.5,47.4,108.3,0.760924,7.095961,-0.618358,0.421375,5.209663,1705.2552,1580.89,136.7188,90.332,48.690612,3.211455,6.249309,7.217329,422491.8837,-20.94,combined_fault,0,0.3725
CAT-TB-001,2,2025-01-01 23:37:00,1923.5,99.2,50.2,0.661898,5.73441,-0.622473,-0.447709,4.688296,1782.884,1639.2354,95.2148,63.4766,42.357028,3.279718,5.497351,6.177952,149295.3294,-21.9299,misalignment_severe,0,0.6077
CAT-TB-002,3,2025-01-01 10:58:00,818.4,44.1,49.6,0.511489,3.163767,-0.851781,0.315116,3.141792,1445.1742,1631.6112,26.8555,14.6484,32.799232,3.356293,3.907948,4.776663,28034.0952,-17.0621,normal,0,0.0
CAT-EX-002,1,2025-01-01 10:42:00,1850.8,50.1,60.4,2.704386,23.512602,-0.640076,0.063286,5.89642,1657.0086,1638.4754,34.1797,31.7383,173.065214,3.245479,6.88065,7.733139,2238143.1844,-19.5303,combined_fault,0,0.9683
